n,v0,b1,b2,b3,b4
10,9.402,56.8109756097561,34.06506506506506,34.09919839679359,34.3313192346425
100,60.72126144455748,277.84302325581393,132.216,135.36303630363037,133.6655
1000,544.8167539267016,2519.0,1114.9117647058824,1157.951127819549,1177.0
10000,20417.5,25129.0,12410.0,26188.0,11680.0
100000,243531.0,256749.0,127270.0,264343.0,276752.0
1000000,2.723512e6,3.571228e6,2.818126e6,2.814449e6,2.895649e6
10000000,7.6118832e7,5.4612321e7,4.3948557e7,4.0194562e7,4.0819106e7
100000000,1.296713192e9,2.7043880815e9,1.623663722e9,1.486710319e9,1.605295265e9
1000000000,2.4030614244e10,2.8666817527e10,1.9459655146e10,2.7283948554e10,2.6996301007e10
