n,Vector{UInt8},DBV1: bitvec,DBV2: UInt64,DBV3: bitvec+BitOperations,DBV4: UInt32
10,7.7307307307307305,55.543,32.424120603015076,33.082,32.243
100,54.417251755265795,415.7318007662835,192.48260381593715,194.14150943396226,170.74793875147233
1000,503.42021276595744,4073.875,1760.5,1779.5,1606.6
